"IO_TYPE","IO_REASON","IO_QTY","LOT_QTY","LOT_FQTY","ITEM_TYPE","ITEM_UNIT_PRICE","STOCK_PREV_QTY","STOCK_AVAIL_QTY","STOCK_RESERVE_QTY","RESERVE_RATE","IO_MONTH","IO_WEEKDAY","RISK_LEVEL"
IN,생산,9809,9809,0,20,595,17167,15292,1875,10.92,"07","3",WARNING
IN,생산,8758,8758,0,20,475,450470,374442,76028,16.88,"07","5",LOW
IN,생산,10108,10108,0,20,475,442526,344750,97776,22.09,"07","6",LOW
IN,생산,8715,8715,0,20,545,430346,328042,102304,23.77,"07","4",LOW
IN,생산,9212,9212,0,20,615,440790,367894,72896,16.54,"07","4",LOW
OUT,판매,698,811,0,30,4950,43776,36605,7171,16.38,"07","5",LOW
IN,생산,811,811,0,30,4950,43776,36605,7171,16.38,"07","3",LOW
OUT,폐기,113,811,0,30,4950,43776,36605,7171,16.38,"07","2",HIGH
OUT,판매,754,936,0,30,4950,41184,32896,8288,20.12,"07","4",LOW
IN,생산,936,936,0,30,4950,41184,32896,8288,20.12,"07","4",LOW
OUT,폐기,182,936,0,30,4950,41184,32896,8288,20.12,"07","2",HIGH
OUT,판매,715,807,0,30,5650,43301,35882,7419,17.13,"07","7",LOW
IN,생산,807,807,0,30,5650,43301,35882,7419,17.13,"07","3",LOW
OUT,폐기,92,807,0,30,5650,43301,35882,7419,17.13,"07","2",HIGH
OUT,판매,739,853,0,30,6350,42284,36873,5411,12.8,"07","1",LOW
IN,생산,836,853,0,30,6350,42284,36873,5411,12.8,"07","3",LOW
OUT,폐기,97,853,0,30,6350,42284,36873,5411,12.8,"07","2",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"07","3",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"07","3",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"07","3",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"07","3",WARNING
IN,생산,39809,42590,0,20,35,229143,194551,34592,15.1,"07","4",WARNING
IN,생산,69626,70965,0,20,60,263480,248999,14481,5.5,"07","4",WARNING
OUT,폐기,17906,70965,0,20,60,263480,248999,14481,5.5,"07","2",HIGH
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","2",LOW
IN,생산,81900,81900,0,20,60,230524,211757,18767,8.14,"07","6",WARNING
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"06","1",LOW
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"06","1",LOW
IN,생산,68290,70615,0,20,70,226216,187441,38775,17.14,"07","4",WARNING
OUT,폐기,3018,70615,0,20,70,226216,187441,38775,17.14,"07","2",HIGH
IN,생산,74640,74640,0,20,80,221564,175756,45808,20.67,"07","4",WARNING
IN,생산,9329,9329,0,20,455,20794,17520,3274,15.74,"07","6",WARNING
IN,생산,10764,10764,0,20,455,21710,17156,4554,20.98,"07","5",WARNING
IN,생산,9283,9283,0,20,525,17850,16105,1745,9.78,"07","5",WARNING
IN,생산,9812,9812,0,20,595,17167,15292,1875,10.92,"07","5",WARNING
IN,생산,8763,8763,0,20,475,450470,374442,76028,16.88,"07","7",LOW
IN,생산,9583,10113,0,20,475,442526,344750,97776,22.09,"07","7",LOW
IN,생산,8719,8719,0,20,545,430346,328042,102304,23.77,"07","5",LOW
IN,생산,9215,9215,0,20,615,440790,367894,72896,16.54,"07","5",LOW
OUT,판매,679,811,0,30,4950,43776,36605,7171,16.38,"07","2",LOW
IN,생산,811,811,0,30,4950,43776,36605,7171,16.38,"07","4",LOW
OUT,폐기,132,811,0,30,4950,43776,36605,7171,16.38,"07","2",HIGH
OUT,판매,807,936,0,30,4950,41184,32896,8288,20.12,"07","5",LOW
IN,생산,936,936,0,30,4950,41184,32896,8288,20.12,"07","4",LOW
OUT,폐기,129,936,0,30,4950,41184,32896,8288,20.12,"07","2",HIGH
OUT,판매,682,807,0,30,5650,43301,35882,7419,17.13,"07","1",LOW
IN,생산,807,807,0,30,5650,43301,35882,7419,17.13,"07","4",LOW
OUT,폐기,125,807,0,30,5650,43301,35882,7419,17.13,"07","2",HIGH
OUT,판매,717,853,0,30,6350,42284,36873,5411,12.8,"07","6",LOW
IN,생산,853,853,0,30,6350,42284,36873,5411,12.8,"07","4",LOW
OUT,폐기,136,853,0,30,6350,42284,36873,5411,12.8,"07","2",HIGH
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"07","4",LOW
IN,생산,48125,48125,0,20,35,229143,194551,34592,15.1,"07","5",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","3",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"07","2",WARNING
IN,생산,66675,66675,0,20,60,263480,248999,14481,5.5,"07","7",WARNING
IN,구매,500000,500000,0,10,6,673811,609813,63998,9.5,"07","2",LOW
IN,생산,103687,103687,0,20,60,230524,211757,18767,8.14,"07","7",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","2",LOW
IN,생산,70229,73850,0,20,70,226216,187441,38775,17.14,"07","6",WARNING
IN,구매,500000,500000,0,10,12,336958,269808,67150,19.93,"07","3",LOW
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"07","2",LOW
IN,생산,92662,92662,0,20,80,221564,175756,45808,20.67,"07","7",WARNING
IN,생산,8763,8763,0,20,455,20794,17520,3274,15.74,"07","1",WARNING
IN,생산,13627,13627,0,20,455,21710,17156,4554,20.98,"07","5",WARNING
IN,생산,9706,9706,0,20,525,17850,16105,1745,9.78,"07","6",WARNING
OUT,폐기,1763,9706,0,20,525,17850,16105,1745,9.78,"07","2",HIGH
IN,생산,12178,12178,0,20,595,17167,15292,1875,10.92,"07","6",WARNING
IN,생산,8229,8229,0,20,475,450470,374442,76028,16.88,"07","6",LOW
IN,생산,12798,12798,0,20,475,442526,344750,97776,22.09,"07","7",LOW
IN,생산,9115,9115,0,20,545,430346,328042,102304,23.77,"07","6",LOW
IN,생산,11437,11437,0,20,615,440790,367894,72896,16.54,"07","6",LOW
OUT,판매,656,762,0,30,4950,43776,36605,7171,16.38,"07","2",LOW
IN,생산,762,762,0,30,4950,43776,36605,7171,16.38,"07","5",LOW
OUT,폐기,106,762,0,30,4950,43776,36605,7171,16.38,"07","2",HIGH
OUT,판매,995,1185,0,30,4950,41184,32896,8288,20.12,"07","7",LOW
IN,생산,1185,1185,0,30,4950,41184,32896,8288,20.12,"07","5",LOW
OUT,폐기,190,1185,0,30,4950,41184,32896,8288,20.12,"07","2",HIGH
OUT,판매,731,844,0,30,5650,43301,35882,7419,17.13,"07","2",LOW
IN,생산,832,844,0,30,5650,43301,35882,7419,17.13,"07","5",LOW
OUT,폐기,101,844,0,30,5650,43301,35882,7419,17.13,"07","2",HIGH
IN,구매,500000,500000,500000,40,2,5983102,5642447,340655,5.69,"06","1",LOW
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"07","5",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"07","5",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"07","5",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"07","5",WARNING
IN,생산,48125,48125,0,20,35,229143,194551,34592,15.1,"07","7",WARNING
IN,생산,66675,66675,0,20,60,263480,248999,14481,5.5,"07","6",WARNING
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"07","3",WARNING
IN,생산,103687,103687,0,20,60,230524,211757,18767,8.14,"07","6",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","4",LOW
IN,생산,73850,73850,0,20,70,226216,187441,38775,17.14,"07","1",WARNING
IN,생산,92662,92662,0,20,80,221564,175756,45808,20.67,"07","6",WARNING
IN,생산,8763,8763,0,20,455,20794,17520,3274,15.74,"07","7",WARNING
OUT,폐기,4632,8763,0,20,455,20794,17520,3274,15.74,"07","2",HIGH
IN,생산,13627,13627,0,20,455,21710,17156,4554,20.98,"07","7",WARNING
OUT,폐기,9644,13627,0,20,455,21710,17156,4554,20.98,"07","2",HIGH
IN,생산,9706,9706,0,20,525,17850,16105,1745,9.78,"07","7",WARNING
OUT,폐기,9706,9706,0,20,525,17850,16105,1745,9.78,"07","2",HIGH
IN,생산,12178,12178,0,20,595,17167,15292,1875,10.92,"07","6",WARNING
OUT,폐기,8380,12178,0,20,595,17167,15292,1875,10.92,"07","2",HIGH
IN,생산,8229,8229,0,20,475,450470,374442,76028,16.88,"07","7",LOW
IN,생산,12798,12798,0,20,475,442526,344750,97776,22.09,"07","2",LOW
IN,생산,9115,9115,0,20,545,430346,328042,102304,23.77,"07","1",LOW
IN,생산,11437,11437,0,20,615,440790,367894,72896,16.54,"07","7",LOW
OUT,판매,670,762,0,30,4950,43776,36605,7171,16.38,"07","2",LOW
IN,생산,762,762,0,30,4950,43776,36605,7171,16.38,"07","6",LOW
OUT,폐기,92,762,0,30,4950,43776,36605,7171,16.38,"07","2",HIGH
OUT,판매,981,1185,0,30,4950,41184,32896,8288,20.12,"07","3",LOW
IN,생산,1185,1185,0,30,4950,41184,32896,8288,20.12,"07","7",LOW
OUT,폐기,204,1185,0,30,4950,41184,32896,8288,20.12,"07","2",HIGH
OUT,판매,759,844,0,30,5650,43301,35882,7419,17.13,"07","4",LOW
IN,생산,844,844,0,30,5650,43301,35882,7419,17.13,"07","6",LOW
OUT,폐기,85,844,0,30,5650,43301,35882,7419,17.13,"07","2",HIGH
OUT,판매,920,1059,0,30,6350,42284,36873,5411,12.8,"07","4",LOW
IN,생산,1059,1059,0,30,6350,42284,36873,5411,12.8,"07","6",LOW
OUT,폐기,139,1059,0,30,6350,42284,36873,5411,12.8,"07","2",HIGH
IN,구매,1500000,1500000,0,10,2,680410,517436,162974,23.95,"07","4",LOW
IN,생산,45123,48125,0,20,35,229143,194551,34592,15.1,"07","7",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"07","5",LOW
IN,생산,66675,66675,0,20,60,263480,248999,14481,5.5,"07","1",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","4",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"07","4",WARNING
IN,생산,103687,103687,0,20,60,230524,211757,18767,8.14,"07","2",WARNING
IN,생산,73850,73850,0,20,70,226216,187441,38775,17.14,"07","2",WARNING
IN,구매,500000,500000,0,10,12,336958,269808,67150,19.93,"07","4",LOW
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","5",LOW
IN,생산,90966,92662,0,20,80,221564,175756,45808,20.67,"07","7",WARNING
IN,생산,8763,8763,0,20,455,20794,17520,3274,15.74,"07","1",WARNING
IN,생산,13627,13627,0,20,455,21710,17156,4554,20.98,"07","1",WARNING
IN,생산,9706,9706,0,20,525,17850,16105,1745,9.78,"07","7",WARNING
IN,생산,12178,12178,0,20,595,17167,15292,1875,10.92,"07","7",WARNING
IN,생산,8229,8229,0,20,475,450470,374442,76028,16.88,"07","1",LOW
IN,생산,12054,12798,0,20,475,442526,344750,97776,22.09,"07","1",LOW
IN,생산,8766,9115,0,20,545,430346,328042,102304,23.77,"07","1",LOW
IN,생산,11437,11437,0,20,615,440790,367894,72896,16.54,"07","1",LOW
OUT,판매,653,762,0,30,4950,43776,36605,7171,16.38,"07","4",LOW
IN,생산,762,762,0,30,4950,43776,36605,7171,16.38,"07","7",LOW
OUT,폐기,109,762,0,30,4950,43776,36605,7171,16.38,"07","2",HIGH
OUT,판매,961,1185,0,30,4950,41184,32896,8288,20.12,"07","4",LOW
IN,생산,1148,1185,0,30,4950,41184,32896,8288,20.12,"07","7",LOW
OUT,폐기,187,1185,0,30,4950,41184,32896,8288,20.12,"07","2",HIGH
OUT,판매,703,844,0,30,5650,43301,35882,7419,17.13,"07","2",LOW
IN,생산,844,844,0,30,5650,43301,35882,7419,17.13,"07","7",LOW
OUT,폐기,141,844,0,30,5650,43301,35882,7419,17.13,"07","2",HIGH
OUT,판매,932,1059,0,30,6350,42284,36873,5411,12.8,"07","4",LOW
IN,생산,1059,1059,0,30,6350,42284,36873,5411,12.8,"07","1",LOW
OUT,폐기,127,1059,0,30,6350,42284,36873,5411,12.8,"07","2",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"07","7",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"07","7",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"07","7",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"07","7",WARNING
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"07","2",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"07","2",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"07","2",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"07","2",WARNING
IN,생산,48125,48125,0,20,35,229143,194551,34592,15.1,"07","3",WARNING
IN,생산,66675,66675,0,20,60,263480,248999,14481,5.5,"07","5",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"07","7",LOW
IN,생산,103687,103687,0,20,60,230524,211757,18767,8.14,"07","4",WARNING
IN,생산,73850,73850,0,20,70,226216,187441,38775,17.14,"07","5",WARNING
IN,생산,86893,92662,0,20,80,221564,175756,45808,20.67,"07","5",WARNING
IN,생산,8763,8763,0,20,455,20794,17520,3274,15.74,"07","6",WARNING
IN,생산,13627,13627,0,20,455,21710,17156,4554,20.98,"07","4",WARNING
IN,생산,9706,9706,0,20,525,17850,16105,1745,9.78,"07","5",WARNING
IN,생산,12178,12178,0,20,595,17167,15292,1875,10.92,"07","5",WARNING
IN,생산,8229,8229,0,20,475,450470,374442,76028,16.88,"07","4",LOW
IN,생산,12798,12798,0,20,475,442526,344750,97776,22.09,"07","4",LOW
IN,생산,9115,9115,0,20,545,430346,328042,102304,23.77,"07","4",LOW
IN,생산,11437,11437,0,20,615,440790,367894,72896,16.54,"07","6",LOW
OUT,판매,856,1059,0,30,6350,42284,36873,5411,12.8,"07","1",LOW
IN,생산,1059,1059,0,30,6350,42284,36873,5411,12.8,"07","6",LOW
OUT,폐기,203,1059,0,30,6350,42284,36873,5411,12.8,"07","2",HIGH
OUT,판매,673,762,0,30,4950,43776,36605,7171,16.38,"07","6",LOW
IN,생산,762,762,0,30,4950,43776,36605,7171,16.38,"07","3",LOW
OUT,폐기,89,762,0,30,4950,43776,36605,7171,16.38,"07","5",HIGH
OUT,판매,1036,1185,0,30,4950,41184,32896,8288,20.12,"07","6",LOW
IN,생산,1185,1185,0,30,4950,41184,32896,8288,20.12,"07","4",LOW
OUT,폐기,149,1185,0,30,4950,41184,32896,8288,20.12,"07","5",HIGH
OUT,판매,700,844,0,30,5650,43301,35882,7419,17.13,"07","6",LOW
IN,생산,844,844,0,30,5650,43301,35882,7419,17.13,"07","5",LOW
OUT,폐기,144,844,0,30,5650,43301,35882,7419,17.13,"07","2",HIGH
IN,생산,1059,1059,0,30,6350,42284,36873,5411,12.8,"07","4",LOW
OUT,판매,903,1059,0,30,6350,42284,36873,5411,12.8,"07","1",LOW
OUT,폐기,156,1059,0,30,6350,42284,36873,5411,12.8,"07","5",HIGH
IN,생산,48125,48125,0,20,35,229143,194551,34592,15.1,"07","6",WARNING
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"07","1",WARNING
IN,생산,66675,66675,0,20,60,263480,248999,14481,5.5,"07","6",WARNING
IN,구매,500000,500000,0,10,6,673811,609813,63998,9.5,"07","1",LOW
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","2",LOW
IN,생산,103690,103690,0,20,60,230524,211757,18767,8.14,"07","4",WARNING
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"07","2",LOW
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"07","2",LOW
IN,생산,73850,73850,0,20,70,226216,187441,38775,17.14,"07","4",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","2",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"07","1",WARNING
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"07","1",WARNING
IN,구매,1000000,1000000,0,10,1,406612,365147,41465,10.2,"07","2",LOW
IN,생산,92665,92665,0,20,80,221564,175756,45808,20.67,"07","6",WARNING
IN,생산,8763,8763,0,20,455,20794,17520,3274,15.74,"07","5",WARNING
IN,생산,13630,13630,0,20,455,21710,17156,4554,20.98,"07","7",WARNING
IN,생산,9267,9706,0,20,525,17850,16105,1745,9.78,"07","7",WARNING
IN,생산,12181,12181,0,20,595,17167,15292,1875,10.92,"07","4",WARNING
IN,생산,8232,8232,0,20,475,450470,374442,76028,16.88,"07","5",LOW
IN,생산,12798,12798,0,20,475,442526,344750,97776,22.09,"07","5",LOW
IN,생산,9116,9116,0,20,545,430346,328042,102304,23.77,"07","5",LOW
IN,생산,10626,11438,0,20,615,440790,367894,72896,16.54,"07","7",LOW
OUT,판매,652,762,0,30,4950,43776,36605,7171,16.38,"07","6",LOW
IN,생산,762,762,0,30,4950,43776,36605,7171,16.38,"07","4",LOW
OUT,폐기,110,762,0,30,4950,43776,36605,7171,16.38,"07","5",HIGH
OUT,판매,1027,1185,0,30,4950,41184,32896,8288,20.12,"07","6",LOW
IN,생산,1090,1185,0,30,4950,41184,32896,8288,20.12,"07","5",LOW
OUT,폐기,63,1185,0,30,4950,41184,32896,8288,20.12,"07","2",HIGH
OUT,판매,698,844,0,30,5650,43301,35882,7419,17.13,"07","2",LOW
IN,생산,844,844,0,30,5650,43301,35882,7419,17.13,"07","4",LOW
OUT,폐기,146,844,0,30,5650,43301,35882,7419,17.13,"07","5",HIGH
OUT,판매,899,1059,0,30,6350,42284,36873,5411,12.8,"07","6",LOW
IN,생산,1059,1059,0,30,6350,42284,36873,5411,12.8,"07","5",LOW
OUT,폐기,160,1059,0,30,6350,42284,36873,5411,12.8,"07","2",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"07","4",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"07","4",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"07","4",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"07","4",WARNING
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"07","4",LOW
IN,구매,1500000,1500000,0,10,2,680410,517436,162974,23.95,"07","3",LOW
IN,생산,50487,50487,0,20,35,229143,194551,34592,15.1,"07","5",WARNING
IN,생산,94150,94150,0,20,60,263480,248999,14481,5.5,"07","5",WARNING
IN,생산,96687,96687,0,20,60,230524,211757,18767,8.14,"07","6",WARNING
OUT,폐기,27212,96687,0,20,60,230524,211757,18767,8.14,"07","3",HIGH
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","3",LOW
IN,생산,76650,76650,0,20,70,226216,187441,38775,17.14,"07","5",WARNING
OUT,폐기,21747,76650,0,20,70,226216,187441,38775,17.14,"07","3",HIGH
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"07","3",LOW
IN,생산,85925,85925,0,20,80,221564,175756,45808,20.67,"07","6",WARNING
OUT,폐기,30745,85925,0,20,80,221564,175756,45808,20.67,"07","3",HIGH
IN,생산,11859,12374,0,20,455,20794,17520,3274,15.74,"07","6",WARNING
IN,생산,12707,12707,0,20,455,21710,17156,4554,20.98,"07","6",WARNING
IN,생산,10074,10074,0,20,525,17850,16105,1745,9.78,"07","5",WARNING
IN,생산,11293,11293,0,20,595,17167,15292,1875,10.92,"07","1",WARNING
IN,생산,11620,11620,0,20,475,450470,374442,76028,16.88,"07","1",LOW
IN,생산,11934,11934,0,20,475,442526,344750,97776,22.09,"07","6",LOW
IN,생산,9460,9460,0,20,545,430346,328042,102304,23.77,"07","7",LOW
IN,생산,10605,10605,0,20,615,440790,367894,72896,16.54,"07","6",LOW
OUT,판매,896,1076,0,30,4950,43776,36605,7171,16.38,"07","1",LOW
IN,생산,1076,1076,0,30,4950,43776,36605,7171,16.38,"07","5",LOW
OUT,폐기,180,1076,0,30,4950,43776,36605,7171,16.38,"07","2",HIGH
OUT,판매,973,1105,0,30,4950,41184,32896,8288,20.12,"07","2",LOW
IN,생산,1105,1105,0,30,4950,41184,32896,8288,20.12,"07","5",LOW
OUT,폐기,132,1105,0,30,4950,41184,32896,8288,20.12,"07","2",HIGH
OUT,판매,718,876,0,30,5650,43301,35882,7419,17.13,"07","4",LOW
IN,생산,876,876,0,30,5650,43301,35882,7419,17.13,"07","7",LOW
OUT,폐기,158,876,0,30,5650,43301,35882,7419,17.13,"07","2",HIGH
OUT,판매,831,982,0,30,6350,42284,36873,5411,12.8,"07","1",LOW
IN,생산,982,982,0,30,6350,42284,36873,5411,12.8,"07","5",LOW
OUT,폐기,151,982,0,30,6350,42284,36873,5411,12.8,"07","2",HIGH
IN,생산,46731,50487,0,20,35,229143,194551,34592,15.1,"07","6",WARNING
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"07","3",WARNING
IN,생산,94150,94150,0,20,60,263480,248999,14481,5.5,"07","6",WARNING
OUT,폐기,27244,94150,0,20,60,263480,248999,14481,5.5,"07","3",HIGH
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","3",LOW
IN,생산,96687,96687,0,20,60,230524,211757,18767,8.14,"07","7",WARNING
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"07","4",LOW
IN,생산,76650,76650,0,20,70,226216,187441,38775,17.14,"07","7",WARNING
IN,구매,500000,500000,0,10,12,336958,269808,67150,19.93,"07","4",LOW
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","3",LOW
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"07","4",WARNING
IN,생산,79636,85925,0,20,80,221564,175756,45808,20.67,"07","7",WARNING
IN,생산,12374,12374,0,20,455,20794,17520,3274,15.74,"07","6",WARNING
IN,생산,12707,12707,0,20,455,21710,17156,4554,20.98,"07","6",WARNING
IN,생산,9527,10074,0,20,525,17850,16105,1745,9.78,"07","7",WARNING
IN,생산,11293,11293,0,20,595,17167,15292,1875,10.92,"07","7",WARNING
IN,생산,11620,11620,0,20,475,450470,374442,76028,16.88,"07","7",LOW
IN,생산,11270,11934,0,20,475,442526,344750,97776,22.09,"07","7",LOW
IN,생산,9460,9460,0,20,545,430346,328042,102304,23.77,"07","7",LOW
IN,생산,10605,10605,0,20,615,440790,367894,72896,16.54,"07","7",LOW
OUT,판매,915,1076,0,30,4950,43776,36605,7171,16.38,"07","3",LOW
IN,생산,1076,1076,0,30,4950,43776,36605,7171,16.38,"07","7",LOW
OUT,폐기,161,1076,0,30,4950,43776,36605,7171,16.38,"07","2",HIGH
OUT,판매,958,1105,0,30,4950,41184,32896,8288,20.12,"07","3",LOW
IN,생산,1086,1105,0,30,4950,41184,32896,8288,20.12,"07","6",LOW
OUT,폐기,128,1105,0,30,4950,41184,32896,8288,20.12,"07","2",HIGH
OUT,판매,729,876,0,30,5650,43301,35882,7419,17.13,"07","7",LOW
IN,생산,876,876,0,30,5650,43301,35882,7419,17.13,"07","2",LOW
OUT,폐기,147,876,0,30,5650,43301,35882,7419,17.13,"07","4",HIGH
OUT,판매,851,982,0,30,6350,42284,36873,5411,12.8,"07","2",LOW
IN,생산,950,982,0,30,6350,42284,36873,5411,12.8,"07","6",LOW
OUT,폐기,99,982,0,30,6350,42284,36873,5411,12.8,"07","2",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"07","6",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"07","6",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"07","6",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"07","6",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"07","4",LOW
IN,생산,47256,50487,0,20,35,229143,194551,34592,15.1,"07","7",WARNING
IN,생산,94150,94150,0,20,60,263480,248999,14481,5.5,"07","1",WARNING
IN,생산,96687,96687,0,20,60,230524,211757,18767,8.14,"07","7",WARNING
OUT,폐기,42034,96687,0,20,60,230524,211757,18767,8.14,"07","5",HIGH
IN,생산,76650,76650,0,20,70,226216,187441,38775,17.14,"07","1",WARNING
OUT,폐기,31906,76650,0,20,70,226216,187441,38775,17.14,"07","5",HIGH
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","4",LOW
IN,생산,85925,85925,0,20,80,221564,175756,45808,20.67,"07","1",WARNING
IN,생산,12374,12374,0,20,455,20794,17520,3274,15.74,"07","3",WARNING
IN,생산,12707,12707,0,20,455,21710,17156,4554,20.98,"07","1",WARNING
OUT,폐기,6537,12707,0,20,455,21710,17156,4554,20.98,"07","3",HIGH
IN,생산,9399,10074,0,20,525,17850,16105,1745,9.78,"07","1",WARNING
OUT,폐기,1259,10074,0,20,525,17850,16105,1745,9.78,"07","3",HIGH
IN,생산,11293,11293,0,20,595,17167,15292,1875,10.92,"07","1",WARNING
OUT,폐기,5950,11293,0,20,595,17167,15292,1875,10.92,"07","3",HIGH
IN,생산,11620,11620,0,20,475,450470,374442,76028,16.88,"07","1",LOW
IN,생산,11934,11934,0,20,475,442526,344750,97776,22.09,"07","1",LOW
IN,생산,9460,9460,0,20,545,430346,328042,102304,23.77,"07","1",LOW
IN,생산,10605,10605,0,20,615,440790,367894,72896,16.54,"07","1",LOW
OUT,판매,889,1076,0,30,4950,43776,36605,7171,16.38,"07","3",LOW
IN,생산,1076,1076,0,30,4950,43776,36605,7171,16.38,"07","7",LOW
OUT,폐기,187,1076,0,30,4950,43776,36605,7171,16.38,"07","2",HIGH
OUT,판매,916,1105,0,30,4950,41184,32896,8288,20.12,"07","7",LOW
IN,생산,1105,1105,0,30,4950,41184,32896,8288,20.12,"07","3",LOW
OUT,폐기,189,1105,0,30,4950,41184,32896,8288,20.12,"07","4",HIGH
OUT,판매,771,876,0,30,5650,43301,35882,7419,17.13,"07","2",LOW
IN,생산,832,876,0,30,5650,43301,35882,7419,17.13,"07","1",LOW
OUT,폐기,61,876,0,30,5650,43301,35882,7419,17.13,"07","2",HIGH
OUT,판매,865,982,0,30,6350,42284,36873,5411,12.8,"07","1",LOW
IN,생산,982,982,0,30,6350,42284,36873,5411,12.8,"07","7",LOW
OUT,폐기,117,982,0,30,6350,42284,36873,5411,12.8,"07","2",HIGH
IN,구매,300000,300000,0,10,12,612022,474246,137776,22.51,"07","1",LOW
IN,구매,250000,250000,0,10,6,673811,609813,63998,9.5,"07","1",LOW
IN,구매,250000,250000,0,10,12,336958,269808,67150,19.93,"07","1",LOW
IN,구매,300000,300000,0,10,3,654609,548925,105684,16.14,"07","1",WARNING
IN,구매,1500000,1500000,0,10,2,680410,517436,162974,23.95,"07","1",LOW
IN,생산,50487,50487,0,20,35,229143,194551,34592,15.1,"07","3",WARNING
IN,구매,1500000,1500000,0,10,3,928933,810397,118536,12.76,"07","1",LOW
IN,생산,94150,94150,0,20,60,263480,248999,14481,5.5,"07","3",WARNING
IN,구매,500000,500000,0,10,3,654609,548925,105684,16.14,"07","1",WARNING
IN,생산,93858,96687,0,20,60,230524,211757,18767,8.14,"07","3",WARNING
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","1",LOW
IN,구매,500000,500000,0,10,12,612022,474246,137776,22.51,"07","1",LOW
IN,구매,500000,500000,0,10,5,236891,196411,40480,17.09,"07","7",LOW
IN,생산,76650,76650,0,20,70,226216,187441,38775,17.14,"07","3",WARNING
IN,생산,85925,85925,0,20,80,221564,175756,45808,20.67,"07","4",WARNING
IN,생산,11707,12374,0,20,455,20794,17520,3274,15.74,"07","5",WARNING
